Neighbourhood Name,Neighbourhood Number,Descriptive Name,Description,Civic Ward,Planning District
LAURIER HEIGHTS,3270,Laurier Heights,"Laurier Heights has many homes with a scenic view of the river valley and offers close access to the Valley Zoo. A park located by 78 Avenue and 141 Street is named after  pioneer Wilfred Gilroy Webb. Most homes in the neighbourhood are single, detached units and the residents do not move often. Forty percent of the population is  50 years of age or older.",sipiwiyiniwak,Jasper Place
LEE RIDGE,6400,Lee Ridge,"Lee Ridge, named for Robert Lee (Mayor of Edmonton, 1909 - 1910), is one of the 27 neighbourhoods of Mill Woods. Residential development in Lee Ridge began in 1972 and was complete by the end of the decade. The focus of the neighbourhood is a multiple purpose school and recreational site. Residents of Lee Ridge are served by nearby shopping centres as well as the health services, commercial, recreational and educational facilities of the nearby Mill Woods Town Centre.",Karhiio,Mill Woods and Meadows
LEGER,5630,Leger,"The Leger neighbourhood was named after a long serving Edmonton politician, Edmund Hugh Leger, who was first elected to City Council in 1959 and went on to serve as an alderman for 25 years.  All homes are oriented along curvilinear streets, with higher density residential developments located along arterial and collector roads in close proximity to transit routes, commercial amenities, and recreational facilities. A pedestrian and bicycle pathway system connects the residential areas with the commercial site in the southeast and the institutional and recreational amenities in the west.",pihêsiwin,Whitemud
LENDRUM PLACE,5270,Lendrum Place,"The area was named in honour of Robert Lendrum, one of Edmonton's early land surveyors.",papastew,Scona
LEWIS FARMS INDUSTRIAL,4485,Lewis Farms Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,West Henday
LORELEI,3280,Lorelei,"Lorelei is named for castle site on the Rhine in Germany. One of the more prominent features of the neighbourhood is the large recreation open space located around Lorelei's two elementary schools.  A number of strategically placed pathways promote pedestrian and bicycle travel through the neighbourhood.  Almost 60% of the households contain children. Overall, 87% of the population is younger than 50.",tastawiyiniwak,Northwest
LYMBURN,4270,Lymburn,"Named for John F. Lymburn (Attorney General from 1926 to 1935), one of the parks is named after Monsignor Walter Fitzgerald. Keyhole crescents provide safe and quiet streets in Lymburn. Lymburn was essentially developed during the 1980s and more than 80% of the neighbourhood is developed.  Housing in Lymburn is a mixture of one-unit dwellings, row housing, and low-rise apartments. Almost 60% of the households have children and approximately 80% of the population is under 40 years of age.",sipiwiyiniwak,West Edmonton
LYNNWOOD,4280,Lynnwood,"A mature suburban neighbourhood, Lynnwood began its development as a part of the Town of Jasper  Place during the 1950s. Today, Lynnwood has many mature trees lining its streets and well-developed school and park facilities. A sizeable apartment complex is located in the north central portion of the neighbourhood.",sipiwiyiniwak,Jasper Place
MACEWAN,5452,MacEwan,"MacEwan takes its name from John Walter Grant MacEwan (1902-2000) who was a local historian, author and politician.  A conscious effort was made to design MacEwan for a more efficient, environmentally conscious use of space and resources.  There are a series of pathways that connect throughout the neighbourhood and link the parks and natural areas together.  Prior to urban development the land in the area was in agricultural use with the exception of one natural area, the Virginia woodlot, which was maintained as part of the ultimate neighbourhood design.",Ipiihkoohkanipiaohtsi,Southwest
MACTAGGART,5477,Mactaggart,"The MacTaggart neighbourhood takes its name from Sandy Auld Mactaggart, a local entrepreneur and philanthropist with provincial, national and international achievements in business, the arts, and education.  The MacTaggart Neighbourhood Area Structure Plan (NASP) was approved by City Council in 2005 and construction of the new neighbourhood began very shortly thereafter.  Land use promotes pedestrian and bicycle travel through the neighbourhood and into other neighbourhoods",pihêsiwin,Whitemud
MAGRATH HEIGHTS,5476,Magrath Heights,,pihêsiwin,Whitemud
MALMO PLAINS,5280,Malmo Plains,"Most of the land within the present neighbourhood was at one time part of the University of Alberta research farm. The soils in the area were of a type known as malmo and hence the name for the neighbourhood.  Malmo Plains is mostly residential, was developed during the 1960s primarily with single-family homes. The University of Alberta's married student multi-family complex is located at the western end of the neighbourhood.",papastew,Scona
MAPLE,6441,Maple,,Sspomitapi,Mill Woods and Meadows
MAPLE RIDGE,6410,Maple Ridge,"The Maple Ridge neighbourhood is a mobile home park in southeast Edmonton.  The neighbourhood is situated between the Maple Ridge Industrial Park and Southeast Industrial Park and much of the land to the south and east of the neighbourhood is currently in agricultural use.  The neighbourhood, developed mainly in the 1970s, is home to a community of over 1,500 people and the vast majority of residential units are owner-occupied (97%).  The Maple Ridge community hall is located at 65th Avenue and 17th Street. Maple Downs Park",Sspomitapi,Southeast
MAPLE RIDGE INDUSTRIAL,6420,Maple Ridge Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Sspomitapi,Southeast
MARQUIS,2671,Marquis,,Dene,Horse Hills
MATT BERRY,2500,Matt Berry,"Matt Berry was named in honour of a Canadian aviation pioneer. Massey ""Matt"" Berry a veteran of both world wars and bush pilot.Matt Berry is almost entirely residential and was planned to accommodate primarily single-family houses. The neighbourhoods began to experience some development in the 1980's but the bulk of construction took place in the 1900's and continued into the 2000s.Pipeline right-of-ways running east-west and in the southeast corner provide pedestrian and cyclist connections.  A large school/park site is located on the eastern boundary of the neighbourhood with a playground, school and smaller parks are strategically within the neighbourhood to provide residents with public amenity space.",Dene,Northeast
MATTSON,6667,Mattson,,Karhiio,Ellerslie
MAYFIELD,4290,Mayfield,"Mayfield was named in honour of Wop May, World War I pilot and pioneer of Edmonton's civilian aviations. Mayfield's street pattern is a good example of the modified grid pattern that became popular after World War II. Single family residences, predominately bungalow, were built throughout the 1950s and are arranged around a central park and school site. Nearby are several multi-family sites and a small commercial element.",Nakota Isga,Jasper Place
MAYLIEWAN,2511,Mayliewan,"Mayliewan, named after a body of water was taken from the Cantonese word meaning ""beautiful day"".  Development began in the 1980s with the bulk of construction taking place in the 1990s and 2000's.  Residents have easy access to parks and two stormwater lakes.  A large school/park site is located in the centre of the neighbourhood and houses St. John Bosco Elementary School and a children playground.  A pipeline right-of-way runs diagonally across Mayliewan which is a key linking feature within pedestrian pathway network.",tastawiyiniwak,Northeast
MCARTHUR INDUSTRIAL,3290,McArthur Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Northwest
MCCAULEY,1140,McCauley,"McCauley, named in honour of Edmonton's first mayor (the colourful Matthew McCauley) developed primarily after 1908 when a street car line was started. Close to Edmonton's central business district, McCauley has experienced some redevelopment.  While predominately residential, each roadway has tended to attract particular ethnic businesses: Italian, Portuguese, Chinese, etc. Other notable features include a great many churches and Commonwealth Stadium.",O-day'min,Central
MCCONACHIE,2522,McConachie,,Dene,Northeast
MCINTYRE INDUSTRIAL,6430,McIntyre Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Karhiio,Southeast
MCKERNAN,5290,McKernan,"Named for James McKernan (prominent businessman and citizen of Edmonton's early rival, the City of Strathcona), McKernan became part of Edmonton through amalgamation in 1912, but development of the area was delayed until McKernan was drained during the 1940s. As with many mature neighbourhoods, the residential component in McKernan is predominately single families. With proximity to the University of Alberta Campus, a large proportion of McKernan's residents are post-secondary students.",papastew,Scona
MCLEOD,2530,McLeod,Unique to McLeod is the fact that almost all of its residential properties are developed with single detached dwellings. Most of these were built during the 1960s. Streets are laid out in crescents and cul-de-sacs and its residential lots are large. McLeod has a very stable population and contains family units that are maturing.,Dene,Northeast
MCNAMARA INDUSTRIAL,4300,McNamara Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
MCQUEEN,3300,McQueen,"Named for Rev. G. D. McQueen (pioneer Presbyterian minister who arrived in Edmonton in 1887), McQueen's street network is modelled on the modified grid pattern. Single-family residences built during the 1950s surround a large central site that contains recreation facilities and several schools. Nearby are several low-rise apartments and other multi-family complexes.",Nakota Isga,Jasper Place
MEADOWLARK PARK,4310,Meadowlark Park,"Well-proportioned lots face curving streets that are arranged in a curvilinear pattern. A school and park site is centrally located. The dominant structure type in the neighbourhood is an average-sized single, detached house. Residents enjoy proximity to Meadowlark Park Shopping Centre. Adjacent to this site are several medical and professional offices, a fire station and a library. Most of the neighbourhood's populace are long time residents.",sipiwiyiniwak,Jasper Place
MELTWATER,6668,Meltwater,,Sspomitapi,Ellerslie
MENISA,6450,Menisa,"In the Cree language, Menisa means ""berries"" which were abundant in the Parkland vegetation that grew in the Mill Woods area. Residential development in Menisa began in 1976 and was nearly complete by 1980. Residents of Menisa are served by businesses in the Menisa Shopping Centre as well as the health services, commercial, recreational and educational facilities in Mill Woods Town Centre. Eighty seven percent of homes are single- and two-unit structures.",Karhiio,Mill Woods and Meadows
MEYOKUMIN,6460,Meyokumin,"Meyokumin, which means ""good water"" in Cree, was part of the Papaschase Indian Reserve created in 1876. The Reserve was later sold to early white settlers and much of the land in the Mill Woods area was in agricultural production until the late 1960s. The single-family house accounts for over 85 percent of the total dwelling units.  Over 85 percent of Meyokumin's population is younger than 40.",Karhiio,Mill Woods and Meadows
MEYONOHK,6470,Meyonohk,"Meyonohk, meaning ""an ideal spot"" in Cree, reflects the neighbourhood's good access to the recreational facilities of nearby Mill Woods Park and to major areas of employment in the industrial areas to the west and north. Residents of Meyonohk are served by local businesses as well as the health services, commercial, recreational and educational facilities of Mill Woods Town Centre. The housing in Meyonohk consists of single unit structures (51%) and high density (42% row housing, 7% low rise apartments).",Karhiio,Mill Woods and Meadows
MICHAELS PARK,6480,Michaels Park,"Michaels Park was named in honour of John Michaels who was involved in community service for 50 years and was best known for his promotion of aviation and the north country. At the centre of Michaels Park is a multi-purpose open space and recreational site. The residents of Michaels Park are served by the local businesses as well as health services, commercial, recreational and educational facilities of the nearby Mill Woods Town Centre.",Karhiio,Mill Woods and Meadows
MILL CREEK RAVINE NORTH,6491,Mill Creek Ravine North,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,papastew,Southeast
MILL CREEK RAVINE SOUTH,6492,Mill Creek Ravine South,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,papastew,Scona
MILL WOODS GOLF COURSE,6500,Mill Woods Golf Course,Public Use Facility,Karhiio,Mill Woods and Meadows
MILL WOODS PARK,6510,Mill Woods Park,,Karhiio,Mill Woods and Meadows
MILL WOODS TOWN CENTRE,6520,Mill Woods Town Centre,,Karhiio,Mill Woods and Meadows
MILLER,2541,Miller,"Miller was named after Abe William Miller, a Hungarian-born lawyer, politician and community volunteer.  The nearby Clareview Light Rail Transit (LRT) station provides residents with good transit access.  Two pipeline rights-of-way cross the neighbourhood and their surfaces have been integrated with the pedestrian transportation network of the community.  The park site located in the west-central area of the neighbourhood provides sports fields and a playground.  Additionally, a one hectare naturalized wetland park provides natural amenity space.  The neighbourhood began development in the 1990¿s and finished in early 2000.",Dene,Northeast
MINCHAU,6530,Minchau,"Minchau was named in honour of August Minchau, who immigrated from Poland in 1894 and settled in the Mill Woods area. The focus of Minchau is a large multiple purpose school and recreational site adjoining Mill Creek Ravine. The ravine provides an opportunity to residents to explore wildlife habitats and areas of natural vegetation. High-density housing and commercial sites are located near the recreational area along collector roadways.",Sspomitapi,Mill Woods and Meadows
MISTATIM INDUSTRIAL,4320,Mistatim Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
MITCHELL INDUSTRIAL,4330,Mitchell Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Jasper Place
MONTROSE,2550,Montrose,"Most of Montrose was developed prior to 1950, and the remainder completed before 1960. On residential land, most homes are single and semi-detached. Multi-family structures are located adjacent to the major roadways. Industrial and commercial land is concentrated in the western portion of the neighbourhood. Residents enjoy good access the Light Rail Transit system and Skyreach Centre.",Métis,118 Avenue
MORIN INDUSTRIAL,4340,Morin Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
MORRIS INDUSTRIAL,6540,Morris Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
NEWTON,2560,Newton,"Newton for Reverend William Newton, (who arrived in Edmonton in 1875), Newton's development has been spread out over several decades. The portion north of 123 Avenue was annexed along with the town of North Edmonton in 1912 and southern Newton joined Edmonton a year later. While southern Newton contains residences built before World War II, the northwest corner of the neighbourhood is the site of very recent development activity.",Métis,118 Avenue
NORTH GLENORA,3310,North Glenora,"North Glenora was part of a 900-acre farm owned by Malcolm Groat. This land was sold in 1906 to Montreal realtor James Carruthers. The first building project was a recreation complex built in 1953. There is a large senior population in the neighbourhood, with over 25 percent of the populace 60 years or older.  Over 70 percent of the households have no children.",Nakota Isga,Central
NORTHMOUNT,2580,Northmount,"Residential land accounts for almost 70 percent of Northmount. Most homes were built during the late 1960s and early 1970s. The dominant structure type is the single detached house. Residents enjoy access to three schools, community league facilities and an auxiliary hospital as well as North Town Mall. An above average proportion of Northmount's populace has resided in the neighbourhood for five or more years.",tastawiyiniwak,Northwest
NORWESTER INDUSTRIAL,4350,Norwester Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
OGILVIE RIDGE,5300,Ogilvie Ridge,"Ogilvie was named after James H. Ogilvie (1893-1977) who was a politician for 57 years, a lawyer, and a veteran of WWI.  The natural topography and Ogilvie Ridge¿s integration with the North Saskatchewan River Valley ravine system is a defining features of the neighbourhood.  A large park site is located at the centre of the neighbourhood and includes playing field space, a naturalized park, a water feature and tennis courts. Single family homes were built to overlook this central open space, which provides great amenities for the community.",pihêsiwin,Whitemud
OLESKIW,4360,Oleskiw,"One of the City's larger residential neighbourhoods, Okeskiw is located in the east close to Wolf Willow Ravine. The area consists almost entirely of single-family homes. The Edmonton
Golf and Country Club is a prominent feature and residents are a short drive from the many retail
and entertainment services at West Edmonton Mall.",sipiwiyiniwak,West Edmonton
OLIVER,1150,Oliver,"Oliver is one of Edmonton's oldest neighbourhoods and was once known simply as the ""West
End"". The neighbourhood was named in the 1950s after pioneer citizen Frank Oliver. Development began in the
1880s, and included the General Hospital and the original Misericordia Hospital. Parts of Oliver
feature large, older homes on tree-lined streets, as well as newer apartment buildings. Oliver's wide range
of amenities and central location make it popular with young adults.",O-day'min,Central
ORMSBY PLACE,4380,Ormsby Place,"Named for the man responsible for developing Edmonton's grid system of numbering streets and
avenues, Ormsby Place is located in the City's west end. Developed in the 1970s and 80s Ormsby Place is characterised by row housing which surrounds an elementary school. This area is home to a
high proportion of young families.",sipiwiyiniwak,West Edmonton
OTTEWELL,6550,Ottewell,"Ottewell is one of the City's largest neighbourhoods, defined by major roadways on all four sides. The residential population is stable, with a higher than average number of
residents older than 40. The area is named for the Ottewell family, who were among the
first settlers south of the river in the 1880s and whose home is now on display in Fort Edmonton Park.",Métis,Southeast
OVERLANDERS,2590,Overlanders,"In 1875 an Anglican minister built a church, home and hospital which he called the Hermitage, a
name which is now used to describe the three neighbourhoods in this area. Much of the land
was agricultural until 1960 when Overlanders and the other two Hermitage neighbourhoods were
subdivided. Development began in the late 1970s, a mixture of single-family homes, row housing and
apartment buildngs on a curving street system. Residents, many of them young families, have easy access
to river valley parks.",Dene,Northeast
OXFORD,3320,Oxford,"The dominant residential form in Oxford is the single-detached house, which accounts for almost 90% of all units within the neighbourhood.  One of the key features in the northern, undeveloped third of the neighbourhood is a drained wetland that is seasonally wet.  The Province of Alberta claimed ownership for this wetland and any future development within the area will need to confirm to applicable regulations on wetland disturbance and wildlife protection.  Oxford takes its name from the ""Oxford House"", which was a Hudson's Bay Company post.",Anirniq,Northwest
OZERNA,2600,Ozerna,"Ozerna is a Ukrainian word that means ""lake area"".  Construction began in the 1980s and continued on well into the 2000s.  Features include a central school and park site within walking distance, for all residents.  As of 2009 a school had not yet been developed but the park site with developed sports field and a playground interconnect the community.  A storm water management lake and linear park, that runs on top of the powerline right-of-way and provides more open space (80%) and connections.",tastawiyiniwak,Northeast
PAISLEY,5469,Paisley,,Ipiihkoohkanipiaohtsi,Southwest
PAPASCHASE INDUSTRIAL,6560,Papaschase Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Karhiio,Southeast
PARKALLEN,5310,Parkallen,,papastew,Scona
PARKDALE,1160,Parkdale,"Parkdale is a low-density residential neighbourhood close to the inner city featuring primarily
single-family homes as well as some commercial and industrial areas. The City's central business
district lies just to the southwest and Commonwealth Stadium, Skyreach Centre and the
Exhibition Grounds are nearby. Parkdale has an older than average population.",Métis,118 Avenue
PARKVIEW,3330,Parkview,"One of the City's larger neighbourhoods, dating to the 1950s, Parkview is a beautiful area
featuring mature trees, attractively landscaped homes on quiet streets, and breathtaking views of the river valley. Parkview's residents represent a fairly stable population, a high proportion of
whom are 50 or older.",sipiwiyiniwak,Jasper Place
PARSONS INDUSTRIAL,6570,Parsons Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Karhiio,Mill Woods and Meadows
PATRICIA HEIGHTS,4390,Patricia Heights,"This area was annexed to the City in 1964, and is dominated by single-family homes. Many
homes in the area overlook the Patricia Ravine (which bounds the neighbourhood on two sides). Patricia Heights is served by Whitemud Drive, which provides direct access to the rest of the City. 
The area also features a small commercial centre and residents enjoy proximity to Meadowlark Shopping Centre
and West Edmonton Mall.",sipiwiyiniwak,Jasper Place
PEMBINA,3340,Pembina,,Anirniq,Northwest
PINTAIL LANDING,4478,Pintail Landing,This neighbourhood is rural in nature and primarily used for agricultural activities.,Nakota Isga,West Henday
PLACE LARUE,4400,Place LaRue,,Nakota Isga,West Edmonton
PLEASANTVIEW,5320,Pleasantview,"Close to Southgate Mall, the area's most prominent feature is its
elevation: hence the name Pleasantview. Portions of Pleasantview have been part of Edmonton since 1914 and much of the land was originally subdivided and sold to WWII veterans. Many of the 1940s-era bungalows are now being replaced with larger homes.",papastew,Scona
POLLARD MEADOWS,6580,Pollard Meadows,"Pollard Meadows is one of the 27 neighbourhoods of Mill Woods. While much of the area was built in the 1970s and 80s, over a fifth remains undeveloped. A high proportion of residents
have children at home. Pollard Meadows families are served by two elementary schools. Excellent commercial amenities are available at nearby Mill Woods Town Centre Mall.",Sspomitapi,Mill Woods and Meadows
POTTER GREENS,4710,Potter Greens,"Potter Greens is a newer residential neighbourhood in west Edmonton, Alberta, Canada.  Substantially all of the residences in the neighbourhood were built during the 1990s.  The most common type of residence is the single family dwelling. The neighbourhood is bounded on the east by Anthony Henday Drive, on the west by Lewis Estates Boulevard, and on the south by Whitemud Drive.  West Edmonton Mall is located a short distance to the east of the neighbourhood along 87 Avenue.",Nakota Isga,West Henday
POUNDMAKER INDUSTRIAL,4410,Poundmaker Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
PRINCE CHARLES,3350,Prince Charles,"Situated on land once own by prominent citizens N. McCauley and A. Wilson, Prince Charles was
first subdivided in 1905 and was annexed in 1910. Early development was spurred by the
construction of an electric street car line which once ran to its southern border; the area was
named in honour of the Prince of Wales. This is a primarily residential area and is characterized
by small households and generally older residents.",Anirniq,Central
PRINCE RUPERT,1170,Prince Rupert,"Prince Rupert lies within the old Hudson Bay Company land reserve. It was first developed during the post-WWII housing boom. The area's centre is residential with large scale commercial uses to the west and the municipal airport to the east. Kingsway Avenue, named to
honour King George VI, is a major feature of this part of the city. A high proportion of area
residents are aged 60 or older.",O-day'min,Central
PYLYPOW INDUSTRIAL,6590,Pylypow Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Sspomitapi,Southeast
QUEEN ALEXANDRA,5330,Queen Alexandra,"Queen Alexandra, named for the wife of Edward VII of England, was once part of the original Town of Strathcona. The area features a broad mix of land uses from residential to commercial. 
Queen Alexandra's proximity to the University of Alberta campus, and the commercial and cultural centre of
Whyte Avenue, makes this a popular area for students.",papastew,Scona
QUEEN MARY PARK,1180,Queen Mary Park,"Lying just north of the City's business district in what was once the old Hudson Bay Company
Reserve, this inner-city neighbourhood was not fully developed until the 1950s. About 40 percent
residential, the area also features about 225 businesses. Queen Mary is home to a high proportion
of young couples and singles.",O-day'min,Central
QUESNELL HEIGHTS,4420,Quesnell Heights,"Quesnell Heights is one of the smallest residential neighbourhoods in the city.  Quesnell Height's residential land use consists entirely of single homes built in the 1960s and 1970s. Located in the centre of the neighbourhood is a one hectare open space/recreation area. Although Quesnell Heights has no community facilities, many are located in the surrounding communities. Major malls are only minutes away when using the Whitemud Freeway.",sipiwiyiniwak,Jasper Place
RAMPART INDUSTRIAL,3360,Rampart Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Anirniq,Northwest
RAMSAY HEIGHTS,5340,Ramsay Heights,"Just south of Riverbend, Ramsay Heights offers a panoramic view of the city to the residents of single-family and multi-family homes. Designed around a central
educational and recreational site, area inhabitants -- a high proportion of whom are in their 30s and
40s -- are linked to the city's major commercial and employment centres by the Whitemud Freeway. 
The area is named for Walter Ramsay, who came to the city in 1899 as a teacher and later became
the city's first commercial florist.",pihêsiwin,Whitemud
RAPPERSWILL,3370,Rapperswill,,Anirniq,Northwest
RHATIGAN RIDGE,5350,Rhatigan Ridge,"This neighbourhood is named for Thomas Rhatigan, an area farmer who was proclaimed ""World Oat King"" at
Toronto's Royal Winter Fair in 1953, 1966 and 1970. Annexed to the City in 1960, the
area features single family dwellings built in the 1980s on attractive crescents and cul-de-sacs, and
includes luxury homes on spacious lots. Rhatigan Ridge has a high proportion of young families.",pihêsiwin,Whitemud
RICHFIELD,6600,Richfield,"Part of Mill Woods, Richfield was developed in the 1970s in a system of pleasantly curving streets
and cul-de-sacs. A multiple purpose school and recreational area lie at its heart, as does the
Millbourne Community shopping facility. The health, commercial, recreational and educational
facilities of Mill Woods Town Centre are close by. Sixty percent of households include children.",Karhiio,Mill Woods and Meadows
RICHFORD,5451,Richford,Richford,Ipiihkoohkanipiaohtsi,Southwest
RIDEAU PARK,5360,Rideau Park,"The neighbourhood is named for Rideau Hall, the residence in Ottawa of the Governor General of Canada. A compact yet diverse neighbourhood, Rideau Park is a mix of single-family homes and low-rise apartment buildings, mostly developed in the 1970s. School and park sites in the centre also serve the residents of adjacent Duggan. A considerable portion of Rideau Park has yet to be developed.",papastew,Whitemud
RIO TERRACE,4430,Rio Terrace,"Rio Terrace's perch on the north bank of the river valley provides spectacular views of the valley and Fort Edmonton Park, one of the City's most popular attractions. Most homes were built in
the 1960s, and all are single-family dwellings. The area includes a school, community league,
church, and park, and residents enjoy easy access to retail and service businesses via the Whitemud
Freeway. Rio Terrace has a high population over 50 years old, many of them long-time
residents.",sipiwiyiniwak,Jasper Place
RITCHIE,6610,Ritchie,"Ritchie is a residential neighbourhood in south east Edmonton, developed during the immediate post-war period. It is named for the original owner of the Ritchie Mill and former mayor of the City of Strathcona. The population of Ritchie enjoys good access to the nightlife of nearby Old Strathcona and the Mill Creek Ravine. Whyte Avenue provides good access to the University of Alberta. 99 Street, which passes through the neighbourhood, provides good access to the downtown core.",papastew,Scona
RIVER VALLEY CAMERON,4467,River Valley Cameron,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,sipiwiyiniwak,West Edmonton
RIVER VALLEY CAPITOL HILL,3380,River Valley Capitol Hill,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
RIVER VALLEY FORT EDMONTON,5401,River Valley Fort Edmonton,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,pihêsiwin,Whitemud
RIVER VALLEY GLENORA,3381,River Valley Glenora,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Nakota Isga,Central
RIVER VALLEY GOLD BAR,6620,River Valley Gold Bar,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Métis,Southeast
RIVER VALLEY HERMITAGE,2630,River Valley Hermitage,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Dene,Northeast
RIVER VALLEY HIGHLANDS,2640,River Valley Highlands,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Métis,118 Avenue
RIVER VALLEY KINNAIRD,1190,River Valley Kinnaird,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Métis,118 Avenue
RIVER VALLEY LAURIER,3382,River Valley Laurier,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,sipiwiyiniwak,Jasper Place
RIVER VALLEY LESSARD NORTH,4440,River Valley Lessard North,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,sipiwiyiniwak,West Edmonton
RIVER VALLEY MAYFAIR,5370,River Valley Mayfair,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,papastew,Scona
RIVER VALLEY OLESKIW,4451,River Valley Oleskiw,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,sipiwiyiniwak,West Edmonton
RIVER VALLEY RIVERSIDE,6630,River Valley Riverside,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Métis,Southeast
RIVER VALLEY RUNDLE,2650,River Valley Rundle,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Métis,118 Avenue
RIVER VALLEY TERWILLEGAR,5380,River Valley Terwillegar,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,pihêsiwin,Whitemud
RIVER VALLEY VICTORIA,1200,River Valley Victoria,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,O-day'min,Central
RIVER VALLEY WALTERDALE,5390,River Valley Walterdale,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,papastew,Scona
RIVER VALLEY WHITEMUD,5400,River Valley Whitemud,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,papastew,Scona
RIVER VALLEY WINDERMERE,5405,River Valley Windermere,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,pihêsiwin,Southwest
RIVER'S EDGE,4469,River's Edge,,sipiwiyiniwak,West Henday
RIVERDALE,1210,Riverdale,"Just east of City Hall and bounded to the south and east by the river, this large flat area is an
important part of Edmonton's history. Quickly developed by the city's early residents, Riverdale
once featured a lumber mill and brickyard, both fuelled by coal mined from the cliffs overlooking
the river. The area retains much of its original character, with charming cottage-type homes, a
small church, and brick school lending it a turn-of-the-century atmosphere.",O-day'min,Central
RIVERVIEW AREA,4463,Riverview Area,This neighbourhood is rural in nature and primarily used for agricultural activities.,sipiwiyiniwak,West Henday
ROPER INDUSTRIAL,6640,Roper Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Karhiio,Southeast
